molecule_chembl_id,canonical_smiles,standard_value,standard_units,pIC50
CHEMBL70296,CS(=O)(=O)c1ccc(-c2occ(Cl)c(=O)c2-c2ccc(Cl)cc2)cc1,936052.05,nM,3.0287000012626586
CHEMBL68972,CS(=O)(=O)c1ccc(-c2occ(Cl)c(=O)c2-c2cccc(Cl)c2)cc1,1416772.11,nM,2.8487000010785124
CHEMBL68873,CS(=O)(=O)c1ccc(-c2occ(Cl)c(=O)c2-c2cc(F)cc(F)c2)cc1,2343689.1,nM,2.630099999782637
CHEMBL304793,CCc1ccc(-c2c(-c3ccc(S(C)(=O)=O)cc3)occ(Cl)c2=O)cc1,720111.92,nM,3.1426000001506464
CHEMBL69683,COc1ccc(-c2c(-c3ccc(S(C)(=O)=O)cc3)occ(Cl)c2=O)cc1,6870684.4,nM,2.163000000008996
CHEMBL1626804,Cc1cc[s+](-c2c(C3CCC(S(C)(=O)=O)CC3)occ(Cl)c2=O)c1,736037.6,nM,3.133099999445895
CHEMBL71423,Cc1ccc(-c2c(-c3ccc(S(C)(=O)=O)cc3)occ(Cl)c2=O)cc1,1760759.34,nM,2.7542999992015957
CHEMBL308692,CS(=O)(=O)c1ccc(-c2occ(Cl)c(=O)c2-c2ccc(-c3ccccc3)c(F)c2)cc1,87902.25,nM,4.056000008315555
CHEMBL69030,CS(=O)(=O)c1ccc(-c2occ(Cl)c(=O)c2-c2cccnc2)cc1,7048553.49,nM,2.151900000138762
CHEMBL306639,CS(=O)(=O)c1ccc(-c2occc(=O)c2-c2ccc(F)cc2)cc1,2236145.2,nM,2.6504999997518937
CHEMBL69567,CS(=O)(=O)c1ccc(-c2occ(Cl)c(=S)c2-c2ccc(F)cc2)cc1,835795.45,nM,3.07789999744852
CHEMBL179512,COc1cc(/C=C/C(O)=C/C(=O)/C=C/c2ccc(O)cc2)ccc1O,21360.0,nM,4.670398751643481
CHEMBL105350,O=C(/C=C/c1ccc(O)cc1)CC(=O)/C=C/c1ccc(O)cc1,36370.0,nM,4.439256698945288
CHEMBL180239,COc1cc(/C=C/c2cc(/C=C/c3ccc(O)c(OC)c3)[nH]n2)ccc1O,9700.0,nM,5.013228265733755
CHEMBL361141,COc1cc(/C=C/c2cc(/C=C/c3ccc(O)cc3)[nH]n2)ccc1O,15450.0,nM,4.811071516239147
CHEMBL178383,Oc1ccc(/C=C/c2cc(/C=C/c3ccc(O)cc3)[nH]n2)cc1,32410.0,nM,4.48932096896779
CHEMBL181529,COc1cc(/C=C/c2cc(/C=C/c3ccc(O)c(OC)c3)on2)ccc1O,10710.0,nM,4.970210529168145
CHEMBL140,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,11060.0,nM,4.956244873031321
CHEMBL182033,COc1cc(/C=C/c2cc(/C=C/c3ccc(O)cc3)on2)ccc1O,18960.0,nM,4.722161666997953
CHEMBL153,Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)O)O2,13100.0,nM,4.882728704344236
CHEMBL72352,CS(=O)(=O)c1ccc(-c2occ(Cl)c(=O)c2-c2ccccc2)cc1,1080936.05,nM,2.966199998880782
CHEMBL68866,CS(=O)(=O)c1ccc(-c2occ(Cl)c(=O)c2-c2ccc(F)cc2)cc1,1478427.39,nM,2.8302000001176983
CHEMBL67759,CS(=O)(=O)c1ccc(-c2occ(Cl)c(=O)c2-c2ccc(F)cc2F)cc1,1386117.35,nM,2.858200000387963
CHEMBL70264,CS(=O)(=O)c1ccc(-c2occ(Cl)c(=O)c2-c2ccc(F)c(F)c2)cc1,1234809.61,nM,2.90839999924685
