molecule_chembl_id,canonical_smiles,standard_value,standard_units,pIC50,mol,MolWt,LogP,HDonors,HAcceptors,TPSA
CHEMBL4071145,CCCCCCCCCCCC(=O)c1c(O)c(-c2ccc(O)cc2)c[nH]c1=O,10000.0,nM,5.0,<rdkit.Chem.rdchem.Mol object at 0x000001624A7149E0>,385.504,5.556700000000007,3,4,90.38999999999999
CHEMBL4086242,CCCCCCCCCCCCCCCCCC(=O)c1c(O)c(-c2ccc(O)cc2)c[nH]c1=O,10000.0,nM,5.0,<rdkit.Chem.rdchem.Mol object at 0x000001624A714A50>,469.6660000000001,7.897300000000009,3,4,90.38999999999999
CHEMBL4075687,NCc1c(-c2ccccc2)c(C(=O)O)c2ccccn12,14910.0,nM,4.826522356547005,<rdkit.Chem.rdchem.Mol object at 0x000001624A714AC0>,266.29999999999995,2.7632000000000003,2,2,67.73
CHEMBL4084975,Cc1c(C(=O)/C(Cl)=N/O)cnn1-c1ccccc1,2330.0,nM,5.632644078973981,<rdkit.Chem.rdchem.Mol object at 0x000001624A714B30>,263.684,2.38992,1,4,67.47999999999999
CHEMBL4071957,Cc1c(-c2nc3ccccn3c2N=O)cnn1-c1ccccc1,1750.0,nM,5.756961951313706,<rdkit.Chem.rdchem.Mol object at 0x000001624A714BA0>,303.325,3.893320000000002,0,4,64.55000000000001
CHEMBL4092736,Cc1c(-c2c(N=O)nc3ncccn23)cnn1-c1ccccc1,1550.0,nM,5.809668301829708,<rdkit.Chem.rdchem.Mol object at 0x000001624A714C10>,304.31300000000005,3.2883200000000015,0,5,77.44
CHEMBL4082443,Cc1c(C2=C(N=O)Oc3ccccc3N2)cnn1-c1ccccc1,4200.0,nM,5.376750709602099,<rdkit.Chem.rdchem.Mol object at 0x000001624A714C80>,318.33600000000007,4.077720000000001,1,5,68.50999999999999
CHEMBL4100461,Cc1c(C2=C(N=O)Oc3cccnc3N2)cnn1-c1ccccc1,1220.0,nM,5.913640169325252,<rdkit.Chem.rdchem.Mol object at 0x000001624A714CF0>,319.32400000000007,3.4727200000000007,1,6,81.4
CHEMBL4067108,Cc1c(C2=C(N=O)Sc3ccccc3N2)cnn1-c1ccccc1,1830.0,nM,5.73754891026957,<rdkit.Chem.rdchem.Mol object at 0x000001624A714D60>,334.40400000000005,4.791020000000003,1,5,59.28
CHEMBL4088373,Cc1c(C2=C(N=O)Nc3ccccc3N2)cnn1-c1ccccc1,1610.0,nM,5.79317412396815,<rdkit.Chem.rdchem.Mol object at 0x000001624A714DD0>,317.35200000000003,4.110820000000001,2,5,71.31
